,local,global
saw,0.000585254527485507,0.31337608267811023
understanding,0.0020541574413934422,0.35475053273187906
cost,0.0011646097506491236,0.305818571087596
play,0.0010190139519843531,0.25055856856191094
questions,0.0018503548890737107,0.31854862979170584
late,0.00702499958970518,0.44702643280696497
living,0.0020676382193299224,0.34507215497291344
type,0.0026303219478227015,0.46641697184312636
trade,0.001966084762844624,0.3252882273747024
months,0.00011683306481339038,0.1927615499432822
cause,0.0016081098291986812,0.2821976900758605
property,0.0007705450450366767,0.2346499394356949
production,0.00064454237531148,0.35781105631199606
white,0.0008169954696982594,0.4061917210065411
low,0.00282013328863511,0.3834365155298628
union,0.0033865940734594357,0.4353243091432232
front,0.001067210900664645,0.281465516339348
story,0.0016015704287413095,0.2749409048357092
return,0.0018090777326051112,0.37968732521712056
moment,0.0011994516198633697,0.2707207038186875
almost,0.0014811735326217268,0.30491855323417927
turned,0.0005454431596076979,0.295487989475658
especially,0.0016854153251508659,0.28388160862564704
similar,0.0012311092562989,0.27871949162947474
paper,0.001897182302743224,0.3200509723549635
seem,0.0005762298517352052,0.2368020278569689
decision,0.003326307871336708,0.4158574157260827
air,0.0023370041200587582,0.370937466034137
purpose,0.0015608339839036439,0.33436785815568126
west,0.0004279091711899093,0.33738297112683024
size,0.0009540263562168342,0.275066563600575
range,0.0031086299512327648,0.31707190355668746
center,0.006310198234967848,0.447950171923146
written,0.0015668074704435918,0.32800340835054176
seemed,0.0007880645469870472,0.3149553493867939
local,0.0014519063821492595,0.412312041182174
short,0.0031045754803236385,0.36674454859273986
ask,0.0004201684490013997,0.26835937251162423
pay,0.0003186697347114618,0.22601388140862522
whom,0.0007219471542543537,0.29150179076421556
president,0.0010387521598598736,0.2727024887977778
income,0.0017564410480858698,0.3858799974598043
c,0.0006191984680861129,0.41855815088987736
books,0.0020091634891859465,0.4235645872302496
de,0.0006679156164534397,0.2625049199175077
association,0.00235009216316391,0.398581094031778
6,5.8082777125934015e-05,0.33246091753914586
close,0.0031321448387500173,0.3770390603247471
factors,0.0015561753289877029,0.3510071954227829
greater,0.0009931356510795894,0.36069963797030347
really,0.0008289773222532372,0.3528256912441734
energy,0.002440583062574265,0.35894089138737906
british,0.0006486789273333113,0.3584927500765883
already,0.0008398178694009589,0.2942452920899864
higher,0.002177001161793491,0.2900683138634963
degree,0.0016915447159923103,0.2718894467439854
areas,0.0024110129540136946,0.3840339345472066
brought,0.0014079555515582357,0.2816322829352488
treatment,0.002711532557389369,0.3353495710619072
approach,0.016964291153285023,0.7339463638536912
east,0.00053776929940208,0.25700448910955376
top,0.0008513188540999441,0.3633752823452894
member,0.0007739987607078803,0.32061585181252994
central,0.0013484256946279447,0.39240738155342636
cent,0.0006008696145990116,0.323443713315421
involved,0.0033586430575324585,0.4843556764820094
further,0.0015242318723001991,0.2639795984786798
report,0.0009955862438205641,0.3210641206363565
hard,0.0015992794985457248,0.30864556276440014
surface,0.001520820094288975,0.23170918920412742
art,0.002140024047363066,0.32787983585251645
source,0.002222550237653518,0.2559937977332595
various,0.0010786625949012578,0.25770428381354693
longer,0.0005621288154549653,0.325022689837689
perhaps,0.0006177541206550207,0.2842752038727059
black,0.0015652572108546304,0.42094379149219274
respect,0.001807755857165854,0.3057775996806944
parts,0.0012623254158105797,0.31648200688300654
patient,0.0028935669375878314,0.30369368187431156
trying,0.0006024869090470157,0.2679613576348605
described,0.0012359923614809316,0.27030147254270787
english,0.0009203034737969592,0.3338925373926439
disease,0.0007239009633884025,0.27767629589950404
b,0.0009976517602564463,0.4154769225746301
natural,0.0017408839938036398,0.3287280231197861
foreign,0.0017640960954657912,0.39208806901436777
call,0.0013877454684768859,0.4151983723702153
europe,0.0009600342015753714,0.35679116092963636
job,0.004930488464622304,0.5428578472195402
answer,0.001645055218256389,0.28296426405468145
issue,0.005112004828669353,0.5016956009502067
blood,0.0007920255241231798,0.24750531109420115
price,0.0005100492807019151,0.24596902056208592
determine,0.0008480283938886793,0.25333888417966244
lot,0.0032608113819658753,0.4817082249611059
gave,0.0017504838446805602,0.2980902031467725
movement,0.002947018855834688,0.313362324700735
quite,0.0007540789089868061,0.31317135232767124
related,0.004089183772063863,0.5329488993656116
provided,0.0026098574679346825,0.39153632983697606
try,0.0004213318103789784,0.23558695251519934
culture,0.005128820839758034,0.5280209426639464
organization,0.0024795983698924513,0.5118926679094293
method,0.002298453788520076,0.28685631113475263
looking,0.0007130560952533158,0.2878283472732561
committee,0.0005818376542445017,0.29497827785864406
20,0.00011713967346012124,0.27553482829091824
economy,0.008825441827290137,0.6344193737196182
importance,0.001594813605307055,0.3384314896122954
review,0.0032866624027213113,0.4927079001953102
federal,0.0014265093682058305,0.45329915156381795
significant,0.0050022904627117,0.5373613566042679
hours,0.000437502342703644,0.22486012827423496
makes,0.0016629202501822744,0.26539110618741213
values,0.0034635645292118255,0.3857714382506431
systems,0.005663323426716727,0.4326522958746952
main,0.003976541484627637,0.35936485723388145
soon,0.00041358593683505143,0.24239621686059531
talk,0.0006911119988464405,0.3693184443116633
lower,0.001202260746184182,0.3101967631775854
issues,0.005277559521537595,0.5617002788980097
leave,0.0008876112822851001,0.3217964630384117
rule,0.0025061480134993966,0.4216774083131998
appear,0.001409098661537974,0.33105672508583606
influence,0.0017240370420065142,0.2568812123813834
council,0.0018830516435422255,0.3951312146345093
quality,0.0037244822596456794,0.432795876734434
heard,0.0006570898952983287,0.22669458990585845
special,0.0018066020626927005,0.36920604901315424
environment,0.0025048834950609743,0.41092234330021393
risk,0.004669274642780952,0.41601900076287124
consider,0.0010283144776332932,0.3257954041293618
practice,0.0015758638693833462,0.3770336205581043
ability,0.0027522158796278212,0.38210038783144185
note,0.006558946107922504,0.3888454194494815
taking,0.001337326566466833,0.3428067965747691
led,0.0016301367576716315,0.3005498359216737
ground,0.0012836303736832226,0.31709659603024787
toward,0.0011566442678455505,0.2553211482974147
earth,0.0007775928827079066,0.24042207384878533
bring,0.0010065513921944276,0.2813518383799011
management,0.0035931063024743654,0.495750238630446
specific,0.0062366285048577035,0.5036314907870385
run,0.0022335188999713022,0.45507259057018434
expected,0.001507827313000985,0.39448256387126435
move,0.0022974225119290325,0.32579219008481886
relations,0.002461714284154363,0.3670466376363113
wife,0.00023135001486326062,0.27730582181828467
material,0.0014115050184112293,0.3137305437776913
direction,0.0007950416830457631,0.28678739933523567
discussion,0.0016514931530134502,0.26825640450344246
learn,0.0006376067457831953,0.26696567538505944
associated,0.003844452152786485,0.3765183962732185
across,0.001255929566151426,0.3804961511249517
lives,0.002000893272692986,0.3396541315749191
loss,0.001059937878139428,0.2880006699597709
differences,0.0015446835424919637,0.23429629081053716
date,0.0009428905514513616,0.269244135816997
resources,0.004910371282106273,0.40135935324729444
england,0.0008901271984232776,0.2912366225200942
equal,0.0026705046614948335,0.32360470081638304
presence,0.002848228305666077,0.3247842523824507
write,0.0005745263010418323,0.30785369040253563
text,0.0011251966123475385,0.4940517514026942
appears,0.0015687541563033842,0.35679857037917573
discussed,0.0009632959177743872,0.24407521900776974
food,0.0006789300218006875,0.325900747398714
truth,0.0007456452930931298,0.319363103210507
son,0.00038832954751988336,0.24492233625261317
john,0.0003647244125229068,0.2998249433389899
published,0.0007716851380774499,0.2529997719397644
six,6.815106329340739e-05,0.23424362231963813
8,3.8372433075195556e-05,0.3073480137456609
twenty,9.742915786632363e-05,0.2300404912221059
else,0.0004631471565091757,0.32432509601864634
current,0.005406554664829614,0.44508028745027794
plan,0.0036357456519808783,0.4212240864251592
agreement,0.0011097640583226911,0.2781424482122026
feet,0.0013612450065057847,0.2225552124232738
minutes,0.0012011902812402433,0.27693914520949836
needed,0.0007744204876429072,0.32197019835649743
space,0.003010555175567418,0.4006092380043821
tried,0.0008147247680294891,0.28231925619946263
congress,0.0006722599641366416,0.35471944311085746
object,0.002035325267677627,0.3371213667861622
